motif_id,family
MA0004.1,Basic helix-loop-helix factors (bHLH)
MA0013.1,C2H2 zinc finger factors
MA0021.1,Other C4 zinc finger-type factors
MA0022.1,Rel homology region (RHR) factors
MA0023.1,Rel homology region (RHR) factors
MA0026.1,Tryptophan cluster factors
MA0049.1,C2H2 zinc finger factors
MA0053.1,Other C4 zinc finger-type factors
MA0054.1,Tryptophan cluster factors
MA0064.1,Other C4 zinc finger-type factors
MA0069.1,Paired box factors
MA0071.1,Nuclear receptors with C4 zinc fingers
MA0096.1,Basic leucine zipper factors (bZIP)
MA0097.1,Basic leucine zipper factors (bZIP)
MA0101.1,Rel homology region (RHR) factors
MA0107.1,Rel homology region (RHR) factors
MA0111.1,Basic helix-loop-helix factors (bHLH)
MA0116.1,C2H2 zinc finger factors
MA0123.1,AP2/EREBP
MA0128.1,Basic leucine zipper factors (bZIP)
MA0129.1,Basic leucine zipper factors (bZIP)
MA0130.1,C2H2 zinc finger factors
MA0149.1,Tryptophan cluster factors
MA0155.1,C2H2 zinc finger factors
MA0163.1,C2H2 zinc finger factors
MA0165.1,Homeo domain factors
MA0166.1,Homeo domain factors
MA0167.1,Homeo domain factors
MA0168.1,Homeo domain factors
MA0169.1,Homeo domain factors
MA0170.1,Homeo domain factors
MA0171.1,Homeo domain factors
MA0172.1,Homeo domain factors
MA0173.1,Homeo domain factors
MA0174.1,Homeo domain factors
MA0175.1,Homeo domain factors
MA0176.1,Homeo domain factors
MA0177.1,Homeo domain factors
MA0178.1,Homeo domain factors
MA0179.1,Homeo domain factors
MA0180.1,Homeo domain factors
MA0181.1,Homeo domain factors
MA0182.1,Homeo domain factors
MA0183.1,Homeo domain factors
MA0186.1,Homeo domain factors
MA0187.1,Homeo domain factors
MA0188.1,Homeo domain factors
MA0190.1,Homeo domain factors
MA0191.1,Homeo domain factors
MA0192.1,Homeo domain factors
MA0193.1,Homeo domain factors
MA0194.1,Homeo domain factors
MA0196.1,Homeo domain factors
MA0198.1,Homeo domain factors
MA0199.1,Homeo domain factors
MA0201.1,Homeo domain factors
MA0202.1,Homeo domain factors
MA0203.1,Homeo domain factors
MA0204.1,Homeo domain factors
MA0206.1,Homeo domain factors
MA0207.1,Homeo domain factors
MA0208.1,Homeo domain factors
MA0209.1,Homeo domain factors
MA0210.1,Homeo domain factors
MA0211.1,Homeo domain factors
MA0212.1,Homeo domain factors
MA0214.1,Homeo domain factors
MA0215.1,Homeo domain factors
MA0217.1,Homeo domain factors
MA0218.1,Homeo domain factors
MA0219.1,Homeo domain factors
MA0220.1,Homeo domain factors
MA0221.1,Homeo domain factors
MA0224.1,Homeo domain factors
MA0225.1,Homeo domain factors
MA0226.1,Homeo domain factors
MA0227.1,Homeo domain factors
MA0228.1,Homeo domain factors
MA0229.1,Homeo domain factors
MA0230.1,Homeo domain factors
MA0231.1,Homeo domain factors
MA0232.1,Homeo domain factors
MA0233.1,Homeo domain factors
MA0234.1,Homeo domain factors
MA0235.1,Homeo domain factors
MA0236.1,Homeo domain factors
MA0238.1,Homeo domain factors
MA0240.1,Homeo domain factors
MA0241.1,Homeo domain factors
MA0244.1,Basic leucine zipper factors (bZIP)
MA0245.1,Homeo domain factors
MA0246.1,Homeo domain factors
MA0248.1,Homeo domain factors
MA0250.1,Homeo domain factors
MA0251.1,Homeo domain factors
MA0253.1,Homeo domain factors
MA0254.1,Homeo domain factors
MA0256.1,Homeo domain factors
MA0260.1,C2H2 zinc finger factors
MA0271.1,MADS box factors
MA0274.1,Basic leucine zipper factors (bZIP)
MA0275.1,C6 zinc cluster factors
MA0276.1,Other C4 zinc finger-type factors
MA0277.1,C2H2 zinc finger factors
MA0283.1,C6 zinc cluster factors
MA0288.1,Homeo domain factors
MA0289.1,Other C4 zinc finger-type factors
MA0290.1,C6 zinc cluster factors
MA0297.1,Fork head/winged helix factors
MA0299.1,C6 zinc cluster factors
MA0307.1,Other C4 zinc finger-type factors
MA0311.1,C6 zinc cluster factors
MA0318.1,Homeo domain factors
MA0321.1,Basic helix-loop-helix factors (bHLH)
MA0322.1,Basic helix-loop-helix factors (bHLH)
MA0323.1,High-mobility group (HMG) domain factors
MA0324.1,C6 zinc cluster factors
MA0327.1,Homeo domain factors
MA0331.1,MADS box factors
MA0332.1,Basic leucine zipper factors (bZIP)
MA0340.1,C2H2 zinc finger factors
MA0341.1,C2H2 zinc finger factors
MA0342.1,C2H2 zinc finger factors
MA0344.1,High-mobility group (HMG) domain factors
